title,tv,year,rating,score_imdb,score_rotten,available_on,show_or_movie
The Outsider,TV,2020,18+,7.9,82%,HBO Max,TV
The Last Emperor,,1987,13+,7.7,90%,HBO Max,Movie
Sharp Objects,TV,2018,18+,8.2,92%,HBO Max,TV
Whisper of the Heart,,1995,all,7.9,94%,HBO Max,Movie
The Tale of the Princess Kaguya,,2013,7+,8.0,100%,HBO Max,Movie
Gremlins,,1984,7+,7.3,84%,HBO Max,Movie
Going Clear: Scientology and the Prison of Belief,,2015,,8.0,95%,HBO Max,Movie
Elf,,2003,7+,6.9,84%,HBO Max,Movie
Rio Bravo,,1959,,8.0,100%,HBO Max,Movie
Paradise Lost: The Child Murders at Robin Hood Hills,,1996,,8.3,100%,HBO Max,Movie
Stagecoach,,1939,7+,7.9,100%,HBO Max,Movie
Sherlock Holmes: A Game of Shadows,,2011,13+,7.5,60%,HBO Max,Movie
Tropic Thunder,,2008,18+,7.0,82%,HBO Max,Movie
Porco Rosso,,1992,7+,7.7,95%,HBO Max,Movie
Love Actually,,2003,18+,7.6,64%,HBO Max,Movie
Winter's Bone,,2010,18+,7.2,94%,HBO Max,Movie
The 39 Steps,,1935,,7.6,96%,HBO Max,Movie
The Secret World of Arrietty,,2010,all,7.6,95%,HBO Max,Movie
Bonnie and Clyde,,1967,18+,7.8,87%,HBO Max,Movie
Throne of Blood,,1957,,8.1,95%,HBO Max,Movie
Rebel Without a Cause,,1955,13+,7.7,96%,HBO Max,Movie
King Kong,,1933,,7.9,98%,HBO Max,Movie
Boys Don't Cry,,1999,18+,7.5,88%,HBO Max,Movie
Eraserhead,,1978,,7.4,90%,HBO Max,Movie
The Passion of Joan of Arc,,1928,,8.1,98%,HBO Max,Movie
Die Hard 2,,1990,18+,7.2,68%,HBO Max,Movie
Wallace & Gromit: The Curse of the Were-Rabbit,,2005,all,7.4,95%,HBO Max,Movie
Lolita,,1962,18+,7.6,91%,HBO Max,Movie
Mrs. Doubtfire,,1993,13+,7.0,71%,HBO Max,Movie
Ray,,2004,13+,7.7,80%,HBO Max,Movie
Rise of the Guardians,,2012,7+,7.3,74%,HBO Max,Movie
The Hidden Fortress,,1958,,8.1,97%,HBO Max,Movie
Entourage,TV,2004,16+,8.4,66%,HBO Max,TV
The Newsroom,TV,2012,16+,8.6,59%,HBO Max,TV
The Devil's Advocate,,1997,18+,7.5,67%,HBO Max,Movie
Unstoppable,,2010,13+,6.8,86%,HBO Max,Movie
A Little Princess,,1995,all,7.7,97%,HBO Max,Movie
The Bridges of Madison County,,1995,13+,7.6,90%,HBO Max,Movie
Bad Education,,2019,18+,7.1,93%,HBO Max,Movie
My Brilliant Friend,TV,2018,18+,8.6,96%,HBO Max,TV
Withnail & I,,1987,18+,7.7,94%,HBO Max,Movie
Bringing Up Baby,,1938,,7.9,93%,HBO Max,Movie
Good Boys,,2019,18+,6.7,80%,HBO Max,Movie
Blindspotting,,2018,18+,7.4,94%,HBO Max,Movie
La Strada,,1954,,8.0,97%,HBO Max,Movie
Anastasia,,1997,all,7.2,85%,HBO Max,Movie
Michael Clayton,,2007,18+,7.2,91%,HBO Max,Movie
Precious,,2009,18+,7.3,91%,HBO Max,Movie
Battleship Potemkin,,1925,,8.0,100%,HBO Max,Movie
Little Shop of Horrors,,1986,13+,7.0,90%,HBO Max,Movie
It Chapter Two,,2019,18+,6.6,63%,HBO Max,Movie
Long Shot,,2019,18+,6.8,82%,HBO Max,Movie
The Wind Rises,,2013,13+,7.8,88%,HBO Max,Movie
Batman Returns,,1992,13+,7.0,79%,HBO Max,Movie
Yesterday,,2019,13+,6.8,63%,HBO Max,Movie
To Be or Not to Be,,1942,all,8.2,98%,HBO Max,Movie
Hedwig and the Angry Inch,,2001,18+,7.7,92%,HBO Max,Movie
Cabaret,,1972,7+,7.8,95%,HBO Max,Movie
Pather Panchali,,1955,,8.6,98%,HBO Max,Movie
Dangerous Liaisons,,1988,18+,7.6,93%,HBO Max,Movie
Conspiracy,,2001,18+,7.7,100%,HBO Max,Movie
Deliverance,,1972,18+,7.7,90%,HBO Max,Movie
His Dark Materials,TV,2019,16+,7.9,80%,HBO Max,TV
The Red Shoes,,1948,,8.1,96%,HBO Max,Movie
Three Kings,,1999,18+,7.1,94%,HBO Max,Movie
The Adventures of Robin Hood,,1938,7+,7.9,100%,HBO Max,Movie
Tampopo,,1985,,7.9,100%,HBO Max,Movie
Doctor Zhivago,,1965,13+,8.0,83%,HBO Max,Movie
Team America: World Police,,2004,18+,7.2,77%,HBO Max,Movie
Enemy at the Gates,,2001,18+,7.6,54%,HBO Max,Movie
Punch-Drunk Love,,2002,18+,7.3,79%,HBO Max,Movie
Belle de Jour,,1967,18+,7.7,96%,HBO Max,Movie
Pokémon Detective Pikachu,,2019,7+,6.6,68%,HBO Max,Movie
A Hard Day's Night,,1964,all,7.6,98%,HBO Max,Movie
The Jinx: The Life and Deaths of Robert Durst,TV,2015,16+,8.7,95%,HBO Max,TV
The Man Who Knew Too Much,,1956,7+,7.5,87%,HBO Max,Movie
A Woman Under the Influence,,1974,18+,8.2,93%,HBO Max,Movie
The Adjustment Bureau,,2011,13+,7.0,71%,HBO Max,Movie
Ad Astra,,2019,13+,6.6,84%,HBO Max,Movie
Z,,1969,,8.3,93%,HBO Max,Movie
That Thing You Do!,,1996,7+,6.9,93%,HBO Max,Movie
Signs,,2002,13+,6.7,74%,HBO Max,Movie
Doom Patrol,TV,2019,18+,8.0,96%,HBO Max,TV
DodgeBall: A True Underdog Story,,2004,13+,6.7,70%,HBO Max,Movie
Secrets & Lies,,1996,18+,8.0,95%,HBO Max,Movie
The Kids Are All Right,,2010,18+,7.0,92%,HBO Max,Movie
Police Story,,1985,13+,7.6,93%,HBO Max,Movie
Bridge to Terabithia,,2007,7+,7.1,85%,HBO Max,Movie
Breaking the Waves,,1996,18+,7.8,85%,HBO Max,Movie
Generation Kill,TV,2008,18+,8.5,86%,HBO Max,TV
Eastbound & Down,TV,2009,18+,8.2,91%,HBO Max,TV
The Animatrix,,2003,18+,7.4,89%,HBO Max,Movie
Flight of the Conchords,TV,2007,16+,8.5,94%,HBO Max,TV
Eyes Without a Face,,1960,,7.7,98%,HBO Max,Movie
Paul,,2011,18+,7.0,70%,HBO Max,Movie
Whose Line Is It Anyway?,TV,1998,7+,8.5,,HBO Max,TV
The Boondocks,TV,2005,18+,8.3,54%,HBO Max,TV
The Player,,1992,18+,7.5,98%,HBO Max,Movie
Au Revoir les Enfants,,1987,7+,8.0,97%,HBO Max,Movie
Rio,,2011,all,6.9,72%,HBO Max,Movie
A Room with a View,,1985,18+,7.3,100%,HBO Max,Movie
Before the Devil Knows You're Dead,,2007,18+,7.3,88%,HBO Max,Movie
Babe,,1995,all,6.7,97%,HBO Max,Movie
Friday Night Lights,,2004,13+,7.2,81%,HBO Max,Movie
Freaks,,1932,,7.9,94%,HBO Max,Movie
Years and Years,TV,2019,18+,8.4,89%,HBO Max,TV
American Splendor,,2003,18+,7.4,94%,HBO Max,Movie
Half Nelson,,2006,18+,7.2,90%,HBO Max,Movie
Ugetsu,,1953,,8.3,100%,HBO Max,Movie
Hairspray,,2007,7+,6.6,91%,HBO Max,Movie
War Dogs,,2016,18+,7.1,61%,HBO Max,Movie
The Tale,,2018,18+,7.2,99%,HBO Max,Movie
The Fresh Prince of Bel-Air,TV,1990,7+,7.9,,HBO Max,TV
American Pie,,1999,18+,7.0,61%,HBO Max,Movie
Amarcord,,1973,18+,7.9,89%,HBO Max,Movie
"Rome, Open City",,1945,,8.0,100%,HBO Max,Movie
Doubt,,2008,13+,7.5,80%,HBO Max,Movie
Primal,TV,2019,16+,8.7,100%,HBO Max,TV
American Animals,,2018,18+,7.0,89%,HBO Max,Movie
Down by Law,,1986,18+,7.8,87%,HBO Max,Movie
Bound,,1996,18+,7.3,88%,HBO Max,Movie
The Circus,,1928,all,8.2,96%,HBO Max,Movie
Deadwood: The Movie,,2019,18+,7.4,98%,HBO Max,Movie
Three Colors: White,,1994,18+,7.6,87%,HBO Max,Movie
Blinded by the Light,,2019,13+,6.9,89%,HBO Max,Movie
Madagascar 3: Europe's Most Wanted,,2012,7+,6.8,79%,HBO Max,Movie
The Thick of It,TV,2005,18+,8.7,85%,HBO Max,TV
Through a Glass Darkly,,1961,,8.1,100%,HBO Max,Movie
Madagascar,,2005,7+,6.9,54%,HBO Max,Movie
Capturing the Friedmans,,2003,,7.7,97%,HBO Max,Movie
Of Mice and Men,,1992,13+,7.5,97%,HBO Max,Movie
Godzilla,,1954,7+,7.6,93%,HBO Max,Movie
Harold & Kumar Go to White Castle,,2004,18+,7.1,74%,HBO Max,Movie
Safety Last!,,1923,,8.1,97%,HBO Max,Movie
Brief Encounter,,1945,13+,8.0,91%,HBO Max,Movie
Dead Man,,1995,18+,7.6,71%,HBO Max,Movie
Pretty in Pink,,1986,13+,6.8,77%,HBO Max,Movie
Paradise Lost 3: Purgatory,,2011,,8.1,100%,HBO Max,Movie
What About Bob?,,1991,7+,7.0,84%,HBO Max,Movie
John Adams,TV,2008,16+,8.5,81%,HBO Max,TV
Vivre Sa Vie,,1962,,8.0,90%,HBO Max,Movie
Woodstock,,1970,18+,8.2,100%,HBO Max,Movie
The Umbrellas of Cherbourg,,1964,13+,7.8,98%,HBO Max,Movie
Midnight Special,,2016,13+,6.6,83%,HBO Max,Movie
Quantum of Solace,,2008,13+,6.6,65%,HBO Max,Movie
Jules and Jim,,1962,,7.8,92%,HBO Max,Movie
Thirteen Days,,2000,13+,7.3,83%,HBO Max,Movie
Flipped,,2010,7+,7.7,55%,HBO Max,Movie
Cléo from 5 to 7,,1962,,7.9,96%,HBO Max,Movie
Valkyrie,,2008,13+,7.1,62%,HBO Max,Movie
Cries and Whispers,,1972,18+,8.1,89%,HBO Max,Movie
Giant,,1956,all,7.6,95%,HBO Max,Movie
The Red Balloon,,1956,,8.2,95%,HBO Max,Movie
Open Range,,2003,18+,7.4,79%,HBO Max,Movie
Time Bandits,,1981,7+,7.0,89%,HBO Max,Movie
Stranger Than Paradise,,1984,18+,7.5,96%,HBO Max,Movie
L'Avventura,,1960,,7.9,96%,HBO Max,Movie
Fantastic Planet,,1973,7+,7.8,90%,HBO Max,Movie
Chocolat,,2000,13+,7.2,62%,HBO Max,Movie
Teen Titans,TV,2003,7+,7.8,92%,HBO Max,TV
Cobain: Montage of Heck,,2015,18+,7.5,97%,HBO Max,Movie
Insecure,TV,2016,18+,7.8,96%,HBO Max,TV
Gia,,1998,18+,7.0,92%,HBO Max,Movie
When Marnie Was There,,2014,7+,7.7,91%,HBO Max,Movie
Late Spring,,1949,,8.3,100%,HBO Max,Movie
Sophie's Choice,,1982,18+,7.6,74%,HBO Max,Movie
Armageddon,,1998,13+,6.7,38%,HBO Max,Movie
The SpongeBob SquarePants Movie,,2004,7+,7.1,68%,HBO Max,Movie
Autumn Sonata,,1978,7+,8.3,84%,HBO Max,Movie
The Tree of Life,,2011,13+,6.8,84%,HBO Max,Movie
The Lego Movie 2: The Second Part,,2019,7+,6.6,85%,HBO Max,Movie
Cold Mountain,,2003,18+,7.2,70%,HBO Max,Movie
The Deuce,TV,2017,18+,8.1,93%,HBO Max,TV
Mr. & Mrs. Smith,,2005,13+,6.5,60%,HBO Max,Movie
Inside No. 9,TV,2014,18+,8.5,100%,HBO Max,TV
Robin Williams: Come Inside My Mind,,2018,18+,8.0,94%,HBO Max,Movie
Maria Full of Grace,,2004,18+,7.4,97%,HBO Max,Movie
Justice League,,2017,13+,6.4,40%,HBO Max,Movie
Mildred Pierce,,1945,,8.0,86%,HBO Max,Movie
Hanna,,2011,13+,6.8,71%,HBO Max,Movie
You Don't Know Jack,,2010,,7.6,91%,HBO Max,Movie
Death at a Funeral,,2007,18+,7.4,62%,HBO Max,Movie
Shooter,,2007,18+,7.2,47%,HBO Max,Movie
The Kite Runner,,2007,13+,7.6,65%,HBO Max,Movie
Black Narcissus,,1947,,7.8,100%,HBO Max,Movie
The Outsiders,,1983,7+,7.1,63%,HBO Max,Movie
Funny Games,,1997,18+,7.6,67%,HBO Max,Movie
My Dinner with Andre,,1981,7+,7.8,92%,HBO Max,Movie
Loving,,2016,13+,7.0,89%,HBO Max,Movie
Reds,,1981,7+,7.3,89%,HBO Max,Movie
Umberto D.,,1952,,8.2,97%,HBO Max,Movie
My Big Fat Greek Wedding,,2002,7+,6.5,76%,HBO Max,Movie
East of Eden,,1955,7+,7.9,84%,HBO Max,Movie
And the Band Played On,,1993,13+,7.8,100%,HBO Max,Movie
Night on Earth,,1991,18+,7.8,75%,HBO Max,Movie
The Cranes Are Flying,,1957,,8.3,96%,HBO Max,Movie
March of the Penguins,,2005,all,7.5,94%,HBO Max,Movie
Body Heat,,1981,18+,7.4,98%,HBO Max,Movie
Mamma Mia! Here We Go Again,,2018,13+,6.7,79%,HBO Max,Movie
Sex and the City,TV,1998,18+,7.1,71%,HBO Max,TV
Watership Down,,1978,7+,7.6,82%,HBO Max,Movie
Commando,,1985,18+,6.7,71%,HBO Max,Movie
Ali: Fear Eats the Soul,,1974,,8.1,100%,HBO Max,Movie
Elevator to the Gallows,,1958,,8.0,93%,HBO Max,Movie
Birds of Passage,,2018,,7.5,96%,HBO Max,Movie
The Alienist,TV,2018,18+,7.7,66%,HBO Max,TV
Andre the Giant,,2018,16+,7.8,95%,HBO Max,Movie
I Know This Much Is True,TV,2020,18+,7.8,75%,HBO Max,TV
Masculin Féminin,,1966,,7.6,95%,HBO Max,Movie
The Judge,,2014,18+,7.4,48%,HBO Max,Movie
Twin Peaks: Fire Walk with Me,,1992,18+,7.3,64%,HBO Max,Movie
Boy Erased,,2018,18+,6.9,81%,HBO Max,Movie
Spielberg,,2017,18+,7.7,92%,HBO Max,Movie
Beauty and the Beast,,1946,,7.9,95%,HBO Max,Movie
Buena Vista Social Club,,1999,all,7.6,91%,HBO Max,Movie
A Perfect World,,1993,13+,7.6,79%,HBO Max,Movie
Quadrophenia,,1979,18+,7.3,100%,HBO Max,Movie
He Got Game,,1998,18+,6.9,81%,HBO Max,Movie
Babette's Feast,,1987,all,7.8,97%,HBO Max,Movie
An American in Paris,,1951,,7.2,96%,HBO Max,Movie
Behind the Candelabra,,2013,18+,7.0,95%,HBO Max,Movie
From Up on Poppy Hill,,2011,7+,7.4,86%,HBO Max,Movie
Picnic at Hanging Rock,,1975,7+,7.5,95%,HBO Max,Movie
Mommy Dead and Dearest,,2017,18+,7.4,100%,HBO Max,Movie
The O.C.,TV,2003,16+,7.5,68%,HBO Max,TV
Batman Beyond: Return of the Joker,,2000,13+,7.8,90%,HBO Max,Movie
Juice,,1992,18+,7.1,79%,HBO Max,Movie
Opening Night,,1977,13+,8.0,96%,HBO Max,Movie
My Life as a Dog,,1985,,7.6,100%,HBO Max,Movie
The Secret Garden,,1993,all,7.3,88%,HBO Max,Movie
Lady Snowblood,,1973,,7.7,100%,HBO Max,Movie
Samurai Jack,TV,2001,16+,8.5,,HBO Max,TV
The Crash Reel,,2013,,8.2,96%,HBO Max,Movie
The Thomas Crown Affair,,1999,18+,6.8,70%,HBO Max,Movie
The Defiant Ones,TV,2017,18+,8.5,100%,HBO Max,TV
The Art of Racing in the Rain,,2019,7+,7.5,43%,HBO Max,Movie
Last Tango in Paris,,1972,18+,7.0,84%,HBO Max,Movie
Mr. Holland's Opus,,1995,7+,7.3,75%,HBO Max,Movie
The Frighteners,,1996,18+,7.1,63%,HBO Max,Movie
My Night at Maud's,,1969,7+,8.0,95%,HBO Max,Movie
Limelight,,1952,all,8.1,97%,HBO Max,Movie
Ballers,TV,2015,18+,7.6,72%,HBO Max,TV
Some Kind of Wonderful,,1987,13+,7.1,81%,HBO Max,Movie
The Cat Returns,,2002,all,7.2,90%,HBO Max,Movie
Top Gear,TV,2002,7+,8.7,,HBO Max,TV
You've Got Mail,,1998,7+,6.6,69%,HBO Max,Movie
Grey Gardens,,1976,7+,7.6,94%,HBO Max,Movie
Citizen X,,1995,18+,7.5,88%,HBO Max,Movie
Divorce Italian Style,,1961,,8.1,100%,HBO Max,Movie
Defending Your Life,,1991,7+,7.2,97%,HBO Max,Movie
Uncle Buck,,1989,7+,7.0,61%,HBO Max,Movie
Monsieur Hulot's Holiday,,1953,,7.5,100%,HBO Max,Movie
McCabe & Mrs. Miller,,1971,18+,7.7,87%,HBO Max,Movie
Mon Oncle,,1958,,7.8,92%,HBO Max,Movie
Secondhand Lions,,2003,7+,7.5,60%,HBO Max,Movie
A Star Is Born,,1954,7+,7.6,98%,HBO Max,Movie
Great Expectations,,1946,,7.8,100%,HBO Max,Movie
House,,1977,,7.4,90%,HBO Max,Movie
Angels in America,TV,2003,18+,8.2,90%,HBO Max,TV
Splendor in the Grass,,1961,,7.8,81%,HBO Max,Movie
Girls,TV,2012,18+,7.3,89%,HBO Max,TV
Knife in the Water,,1962,,7.5,100%,HBO Max,Movie
All the Way,,2016,16+,7.3,88%,HBO Max,Movie
Lights Out,,2016,13+,6.3,76%,HBO Max,Movie
Benny & Joon,,1993,7+,7.2,71%,HBO Max,Movie
Adam's Rib,,1949,7+,7.5,100%,HBO Max,Movie
An Officer and a Gentleman,,1982,18+,7.0,79%,HBO Max,Movie
Gavin & Stacey,TV,2007,16+,8.1,97%,HBO Max,TV
Batman v Superman: Dawn of Justice,,2016,13+,6.5,28%,HBO Max,Movie
Godzilla: King of the Monsters,,2019,13+,6.0,42%,HBO Max,Movie
Monsters vs Aliens,,2009,7+,6.4,73%,HBO Max,Movie
Batman vs. Robin,,2015,13+,7.1,100%,HBO Max,Movie
Lone Wolf and Cub: Baby Cart at the River Styx,,1972,,8.0,100%,HBO Max,Movie
Dragged Across Concrete,,2019,18+,7.0,75%,HBO Max,Movie
Gimme Shelter,,1970,18+,7.9,96%,HBO Max,Movie
Biutiful,,2010,18+,7.5,66%,HBO Max,Movie
The Manchurian Candidate,,2004,18+,6.6,80%,HBO Max,Movie
Orpheus,,1950,,8.0,97%,HBO Max,Movie
61*,,2001,18+,7.8,85%,HBO Max,Movie
Foreign Correspondent,,1940,,7.5,95%,HBO Max,Movie
The Young Girls of Rochefort,,1967,all,7.7,98%,HBO Max,Movie
Veronica Mars,,2014,13+,6.8,79%,HBO Max,Movie
Another Earth,,2011,13+,7.0,66%,HBO Max,Movie
Out of Africa,,1985,7+,7.2,58%,HBO Max,Movie
Kwaidan,,1964,,8.0,89%,HBO Max,Movie
The Last Unicorn,,1982,all,7.5,71%,HBO Max,Movie
Crimson Peak,,2015,18+,6.5,72%,HBO Max,Movie
Gentleman Jack,TV,2019,18+,8.2,90%,HBO Max,TV
Happy Feet,,2006,7+,6.4,76%,HBO Max,Movie
Living in Oblivion,,1995,18+,7.5,88%,HBO Max,Movie
Onibaba,,1964,18+,8.0,83%,HBO Max,Movie
The Most Dangerous Game,,1932,13+,7.1,100%,HBO Max,Movie
F for Fake,,1975,7+,7.8,88%,HBO Max,Movie
Dolores Claiborne,,1995,18+,7.4,84%,HBO Max,Movie
The Last Seduction,,1994,18+,7.0,94%,HBO Max,Movie
The Marriage of Maria Braun,,1979,18+,7.8,92%,HBO Max,Movie
Vampyr,,1932,13+,7.6,100%,HBO Max,Movie
Emma,,1996,7+,6.6,84%,HBO Max,Movie
Looking: The Movie,,2016,18+,7.5,89%,HBO Max,Movie
Muriel's Wedding,,1994,18+,7.2,78%,HBO Max,Movie
Tom and Jerry,TV,1940,all,8.7,,HBO Max,TV
The Island,,2005,13+,6.8,55%,HBO Max,Movie
Man Bites Dog,,1992,18+,7.5,74%,HBO Max,Movie
The Righteous Gemstones,TV,2019,18+,8.1,75%,HBO Max,TV
"Now, Voyager",,1942,,7.9,92%,HBO Max,Movie
Looking,TV,2014,18+,8.2,90%,HBO Max,TV
Home Alone 2: Lost in New York,,1992,7+,6.8,33%,HBO Max,Movie
Ashes and Diamonds,,1958,,7.8,95%,HBO Max,Movie
Harlan County U.S.A.,,1976,7+,8.3,100%,HBO Max,Movie
Monsieur Verdoux,,1947,,7.9,97%,HBO Max,Movie
The Shop on Main Street,,1965,7+,8.2,100%,HBO Max,Movie
Arthur,,1981,7+,6.9,88%,HBO Max,Movie
Regular Show,TV,2010,7+,8.4,,HBO Max,TV
Red Desert,,1964,,7.6,96%,HBO Max,Movie
The Thief of Bagdad,,1940,,7.5,100%,HBO Max,Movie
In a World...,,2013,18+,6.7,92%,HBO Max,Movie
The Earrings of Madame de...,,1953,,8.0,97%,HBO Max,Movie
The Testament of Dr. Mabuse,,1933,,8.0,89%,HBO Max,Movie
The Plot Against America,TV,2020,18+,7.3,86%,HBO Max,TV
Carnival of Souls,,1962,7+,7.1,86%,HBO Max,Movie
Storks,,2016,7+,6.8,66%,HBO Max,Movie
Steven Universe,TV,2013,7+,8.2,,HBO Max,TV
Emma,TV,2009,7+,8.1,83%,HBO Max,TV
Fantastic Beasts: The Crimes of Grindelwald,,2018,13+,6.6,36%,HBO Max,Movie
American Pie 2,,2001,18+,6.4,52%,HBO Max,Movie
Thunderbolt and Lightfoot,,1974,18+,7.1,90%,HBO Max,Movie
The Times of Harvey Milk,,1984,,8.3,96%,HBO Max,Movie
Vice Principals,TV,2016,18+,8.0,83%,HBO Max,TV
Dont Look Back,,1967,,8.0,100%,HBO Max,Movie
Taste of Cherry,,1997,,7.7,84%,HBO Max,Movie
I Am Sam,,2001,13+,7.7,35%,HBO Max,Movie
Chimes at Midnight,,1965,,7.8,98%,HBO Max,Movie
"Scooby-Doo, Where Are You?",TV,1969,all,7.8,,HBO Max,TV
For All Mankind,,1989,,8.2,94%,HBO Max,Movie
Point Blank,,1967,,7.3,94%,HBO Max,Movie
Treme,TV,2010,18+,8.2,97%,HBO Max,TV
Like Water for Chocolate,,1992,18+,7.1,91%,HBO Max,Movie
Eve's Bayou,,1997,18+,7.3,82%,HBO Max,Movie
Pom Poko,,1994,13+,7.3,85%,HBO Max,Movie
Final Destination,,2000,18+,6.7,35%,HBO Max,Movie
La Notte,,1961,,8.1,83%,HBO Max,Movie
Water for Elephants,,2011,13+,6.9,60%,HBO Max,Movie
Dune,,1984,13+,6.5,52%,HBO Max,Movie
Magic Mike,,2012,18+,6.1,79%,HBO Max,Movie
Hairspray,,1988,7+,6.9,98%,HBO Max,Movie
Teenage Mutant Ninja Turtles,,1990,7+,6.8,40%,HBO Max,Movie
Wit,,2001,13+,8.0,83%,HBO Max,Movie
Magnum Force,,1973,18+,7.2,75%,HBO Max,Movie
Revanche,,2008,,7.5,96%,HBO Max,Movie
Much Ado About Nothing,,2012,13+,7.1,86%,HBO Max,Movie
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,,2016,16+,8.0,100%,HBO Max,Movie
The Tin Drum,,1979,18+,7.5,82%,HBO Max,Movie
Adventures in Babysitting,,1987,13+,6.9,72%,HBO Max,Movie
Klute,,1971,18+,7.1,93%,HBO Max,Movie
Mea Maxima Culpa: Silence in the House of God,,2012,16+,8.0,98%,HBO Max,Movie
Home Movies,TV,1999,7+,8.1,100%,HBO Max,TV
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,,2007,,8.3,100%,HBO Max,Movie
The Bucket List,,2007,13+,7.4,41%,HBO Max,Movie
Hamlet,,1948,,7.6,95%,HBO Max,Movie
Germany Year Zero,,1948,,7.9,95%,HBO Max,Movie
In Treatment,TV,2008,18+,8.3,88%,HBO Max,TV
How to Lose a Guy in 10 Days,,2003,13+,6.4,42%,HBO Max,Movie
Europa,,1991,18+,7.6,80%,HBO Max,Movie
4 Little Girls,,1997,16+,7.8,100%,HBO Max,Movie
Suicide Squad,,2016,13+,6.0,27%,HBO Max,Movie
Häxan,,1922,,7.7,88%,HBO Max,Movie
Smallfoot,,2018,7+,6.6,76%,HBO Max,Movie
Cronos,,1993,18+,6.7,90%,HBO Max,Movie
Sabotage,,1937,,7.1,100%,HBO Max,Movie
Metropolitan,,1990,13+,7.4,91%,HBO Max,Movie
The Phantom of the Opera,,2004,13+,7.3,33%,HBO Max,Movie
Love in the Afternoon,,1972,18+,7.7,90%,HBO Max,Movie
Wallander,TV,2008,7+,7.9,88%,HBO Max,TV
She's the Man,,2006,13+,6.3,43%,HBO Max,Movie
The Official Story,,1985,18+,7.7,100%,HBO Max,Movie
A Star Is Born,,1937,,7.3,100%,HBO Max,Movie
Shoot the Piano Player,,1960,,7.5,93%,HBO Max,Movie
ERASED,TV,2016,16+,8.5,,HBO Max,TV
Momentum Generation,,2018,16+,8.0,100%,HBO Max,Movie
Life According to Sam,,2013,all,8.2,100%,HBO Max,Movie
Scanners,,1981,18+,6.8,74%,HBO Max,Movie
Pandora's Box,,1929,13+,7.9,92%,HBO Max,Movie
Mr. Show with Bob and David,TV,1995,18+,8.3,100%,HBO Max,TV
A Walk to Remember,,2002,7+,7.4,27%,HBO Max,Movie
U-571,,2000,13+,6.6,68%,HBO Max,Movie
Lone Wolf and Cub: Sword of Vengeance,,1972,,7.8,82%,HBO Max,Movie
Weird Science,,1985,13+,6.6,58%,HBO Max,Movie
The Parallax View,,1974,18+,7.1,90%,HBO Max,Movie
High Maintenance,TV,2016,18+,8.0,98%,HBO Max,TV
Western Stars,,2019,7+,7.5,94%,HBO Max,Movie
Mildred Pierce,TV,2011,18+,7.7,81%,HBO Max,TV
The Client,,1994,13+,6.7,78%,HBO Max,Movie
City of Angels,,1998,13+,6.7,58%,HBO Max,Movie
Every Brilliant Thing,,2016,,8.6,100%,HBO Max,Movie
Bridget Jones's Baby,,2016,18+,6.5,78%,HBO Max,Movie
The Hangover Part II,,2011,18+,6.4,33%,HBO Max,Movie
Weekend,,1967,18+,7.2,96%,HBO Max,Movie
Black Orpheus,,1959,7+,7.5,89%,HBO Max,Movie
L'Argent,,1983,,7.5,96%,HBO Max,Movie
McMillion$,TV,2020,16+,7.3,88%,HBO Max,TV
Teen Titans: The Judas Contract,,2017,13+,7.0,83%,HBO Max,Movie
Oliver Twist,,1948,,7.8,100%,HBO Max,Movie
Victim,,1961,,7.7,100%,HBO Max,Movie
Stuber,,2019,18+,6.2,41%,HBO Max,Movie
I Love You Phillip Morris,,2009,18+,6.6,71%,HBO Max,Movie
Bored to Death,TV,2009,18+,7.9,79%,HBO Max,TV
Desert Hearts,,1985,18+,7.0,94%,HBO Max,Movie
An Angel at My Table,,1990,18+,7.5,94%,HBO Max,Movie
Gold Diggers of 1933,,1933,,7.7,100%,HBO Max,Movie
Paradise Lost 2: Revelations,,2000,,7.6,91%,HBO Max,Movie
Robot Chicken,TV,2005,18+,7.7,,HBO Max,TV
We're Here,TV,2020,18+,7.9,100%,HBO Max,TV
Rosewood,,1997,18+,7.2,86%,HBO Max,Movie
Linda Ronstadt: The Sound of My Voice,,2019,13+,8.0,89%,HBO Max,Movie
Analyze This,,1999,18+,6.7,69%,HBO Max,Movie
42nd Street,,1933,,7.4,96%,HBO Max,Movie
Presumed Innocent,,1990,18+,6.9,87%,HBO Max,Movie
Shadows,,1959,7+,7.3,100%,HBO Max,Movie
The Sisterhood of the Traveling Pants,,2005,7+,6.5,77%,HBO Max,Movie
Something Wild,,1986,18+,6.9,90%,HBO Max,Movie
American Wedding,,2003,18+,6.3,54%,HBO Max,Movie
The Hitcher,,1986,18+,7.2,61%,HBO Max,Movie
River's Edge,,1986,18+,7.0,87%,HBO Max,Movie
Monterey Pop,,1968,,8.0,96%,HBO Max,Movie
Annabelle Comes Home,,2019,18+,5.9,65%,HBO Max,Movie
Nanook of the North,,1922,,7.6,100%,HBO Max,Movie
The Stranger,,1991,,8.1,100%,HBO Max,Movie
Shaft,,2019,18+,6.4,32%,HBO Max,Movie
A Nightmare on Elm Street 3: Dream Warriors,,1987,18+,6.6,74%,HBO Max,Movie
Police Academy,,1984,18+,6.7,54%,HBO Max,Movie
Any Given Sunday,,1999,18+,6.9,52%,HBO Max,Movie
