title,tv,year,rating,score_imdb,score_rotten,available_on,show_or_movie
The Muppets,,2011,7+,7.1,95%,Disney Plus,Movie
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,2005,7+,6.9,76%,Disney Plus,Movie
Miracle,,2004,7+,7.5,81%,Disney Plus,Movie
Marvel's Agent Carter,TV,2015,7+,7.9,86%,Disney Plus,TV
Miracle on 34th Street,,1947,all,7.9,96%,Disney Plus,Movie
The Many Adventures of Winnie the Pooh,,1977,all,7.6,100%,Disney Plus,Movie
Pirates of the Caribbean: At World's End,,2007,13+,7.1,44%,Disney Plus,Movie
Star Wars: Episode II - Attack of the Clones,,2002,7+,6.5,65%,Disney Plus,Movie
The Muppet Movie,,1979,all,7.6,88%,Disney Plus,Movie
Cool Runnings,,1993,7+,7.0,76%,Disney Plus,Movie
Star Wars: Episode I - The Phantom Menace,,1999,7+,6.5,53%,Disney Plus,Movie
Mickey's Christmas Carol,,1983,all,8.0,100%,Disney Plus,Movie
Maleficent: Mistress of Evil,,2019,7+,6.6,40%,Disney Plus,Movie
Star Wars Rebels,TV,2014,7+,8.0,100%,Disney Plus,TV
The Parent Trap,,1998,7+,6.5,86%,Disney Plus,Movie
Robin Hood,,1973,all,7.6,54%,Disney Plus,Movie
National Treasure,,2004,7+,6.8,46%,Disney Plus,Movie
Treasure Planet,,2002,7+,7.2,69%,Disney Plus,Movie
The Muppet Christmas Carol,,1992,all,7.7,75%,Disney Plus,Movie
Holes,,2003,7+,7.0,78%,Disney Plus,Movie
The Fox and the Hound,,1981,all,7.3,70%,Disney Plus,Movie
Pete's Dragon,,2016,7+,6.7,88%,Disney Plus,Movie
The Good Dinosaur,,2015,7+,6.7,76%,Disney Plus,Movie
The Hunchback of Notre Dame,,1996,all,6.9,71%,Disney Plus,Movie
Frankenweenie,,2012,7+,6.9,87%,Disney Plus,Movie
Tron,,1982,7+,6.8,74%,Disney Plus,Movie
DuckTales,TV,2017,7+,8.2,100%,Disney Plus,TV
Marvel's Runaways,TV,2017,16+,7.0,87%,Disney Plus,TV
TRON: Legacy,,2010,7+,6.8,51%,Disney Plus,Movie
The Aristocats,,1970,all,7.1,66%,Disney Plus,Movie
The Sword in the Stone,,1963,all,7.2,67%,Disney Plus,Movie
Cars 3,,2017,all,6.7,70%,Disney Plus,Movie
Queen of Katwe,,2016,7+,7.4,93%,Disney Plus,Movie
Homeward Bound: The Incredible Journey,,1993,all,6.9,87%,Disney Plus,Movie
The Chronicles of Narnia: Prince Caspian,,2008,7+,6.5,67%,Disney Plus,Movie
Winnie the Pooh,,2011,all,7.2,91%,Disney Plus,Movie
X-Men,TV,1992,7+,8.4,85%,Disney Plus,TV
James and the Giant Peach,,1996,7+,6.7,91%,Disney Plus,Movie
The Great Mouse Detective,,1986,all,7.2,79%,Disney Plus,Movie
Before the Flood,,2016,7+,8.3,74%,Disney Plus,Movie
Flight of the Navigator,,1986,7+,6.9,83%,Disney Plus,Movie
Meet the Robinsons,,2007,all,6.8,67%,Disney Plus,Movie
Willow,,1988,7+,7.3,50%,Disney Plus,Movie
"20,000 Leagues Under the Sea",,1954,all,7.2,89%,Disney Plus,Movie
Star Wars: Episode III - Revenge of the Sith,,2005,13+,7.5,,Disney Plus,Movie
Sister Act,,1992,7+,6.4,73%,Disney Plus,Movie
Fantasia 2000,,1999,all,7.2,81%,Disney Plus,Movie
Tinker Bell,,2008,all,6.8,100%,Disney Plus,Movie
Jane,,2017,7+,7.8,98%,Disney Plus,Movie
The Rescuers,,1977,all,6.9,80%,Disney Plus,Movie
Eight Below,,2006,7+,7.3,72%,Disney Plus,Movie
Invincible,,2006,7+,7.1,72%,Disney Plus,Movie
Descendants,,2015,all,6.3,90%,Disney Plus,Movie
Freaky Friday,,2003,7+,6.1,88%,Disney Plus,Movie
Pocahontas,,1995,all,6.7,55%,Disney Plus,Movie
"Honey, I Shrunk the Kids",,1989,7+,6.3,76%,Disney Plus,Movie
Alice in Wonderland,,2010,7+,6.4,51%,Disney Plus,Movie
The Santa Clause,,1994,7+,6.5,71%,Disney Plus,Movie
John Carter,,2012,13+,6.6,52%,Disney Plus,Movie
Pirates of the Caribbean: On Stranger Tides,,2011,13+,6.6,33%,Disney Plus,Movie
Old Yeller,,1957,all,7.3,100%,Disney Plus,Movie
Phineas and Ferb the Movie: Across the 2nd Dimension,,2011,all,7.4,100%,Disney Plus,Movie
The Parent Trap,,1961,all,7.1,90%,Disney Plus,Movie
The BFG,,2016,7+,6.4,75%,Disney Plus,Movie
The Princess Diaries,,2001,all,6.3,48%,Disney Plus,Movie
DuckTales: The Movie - Treasure of the Lost Lamp,,1990,all,6.9,88%,Disney Plus,Movie
The Rookie,,2002,all,6.9,84%,Disney Plus,Movie
The Finest Hours,,2016,13+,6.8,64%,Disney Plus,Movie
Millions,,2004,13+,6.9,88%,Disney Plus,Movie
A Goofy Movie,,1995,all,6.8,59%,Disney Plus,Movie
National Treasure: Book of Secrets,,2007,7+,6.5,36%,Disney Plus,Movie
Swiss Family Robinson,,1960,all,7.2,82%,Disney Plus,Movie
One Strange Rock,TV,2018,all,8.8,83%,Disney Plus,TV
The Lion King 1½,,2004,all,6.5,78%,Disney Plus,Movie
The Lion King II: Simba's Pride,,1998,all,6.5,62%,Disney Plus,Movie
High School Musical: The Musical: The Series,TV,2019,7+,7.3,79%,Disney Plus,TV
Hocus Pocus,,1993,7+,6.9,34%,Disney Plus,Movie
Bedknobs and Broomsticks,,1971,all,7.1,65%,Disney Plus,Movie
The Adventures of Ichabod and Mr. Toad,,1949,7+,7.0,93%,Disney Plus,Movie
The Greatest Game Ever Played,,2005,7+,7.4,63%,Disney Plus,Movie
Bears,,2014,all,7.4,91%,Disney Plus,Movie
Muppet Treasure Island,,1996,all,7.0,73%,Disney Plus,Movie
The Rocketeer,,1991,7+,6.5,65%,Disney Plus,Movie
High School Musical,,2006,all,5.4,63%,Disney Plus,Movie
